STUDENT_ID,SCHOOL_ID,SECTION_ID
120045,,090701-30
100300,,090701-30
100174,,090701-30
100919,,090701-40
120036,,090701-40
100170,,090702-10
120107,,090702-20
100204,,090702-20
100203,,090702-30
100165,,090702-40
100282,,091000-10
120071,,091000-10
120122,,091000-10
120070,,091000-10
100284,,091000-10
100157,,091000-10
100158,,091000-10
100160,,091000-10
120110,,091000-10
100971,,091000-10
120164,,091000-10
100193,,091000-10
100178,,091000-10
100206,,091000-10
100183,,091000-10
100189,,091000-10
100932,,091000-10
120051,,091000-10
100133,,091000-10
120145,,091000-10
100153,,091000-10
100431,,091000-20
100172,,091000-20
120101,,091000-20
120107,,091000-20
120108,,091000-20
100310,,091000-20
120057,,091000-20
100307,,091000-20
100970,,091000-20
120112,,091000-20
100199,,091000-20
100214,,091000-20
120119,,091000-20
100181,,091000-20
100286,,091000-20
120130,,091000-20
100196,,091000-20
120103,,091000-20
120134,,091000-20
120123,,091000-20
120055,,091000-30
100272,,091000-30
100185,,091000-30
100155,,091000-30
100306,,091000-30
100309,,091000-30
100239,,091000-30
100177,,091000-30
100241,,091000-30
100191,,091000-30
100298,,091000-30
100159,,091000-30
100168,,091000-30
100180,,091000-30
120138,,091000-30
120154,,091000-30
120126,,091000-30
120165,,091000-30
100203,,091000-30
100297,,091000-40
120045,,091000-40
100154,,091000-40
100205,,091000-40
100240,,091000-40
100165,,091000-40
100201,,091000-40
120143,,091000-40
100179,,091000-40
120096,,091000-40
120065,,091000-40
100174,,091000-40
100294,,091000-40
100295,,091000-40
100202,,091000-40
100302,,091000-40
100195,,091000-40
100662,,091000-40
100151,,091000-40
120128,,091000-40
100642,,091004-35
100210,,091004-35
100209,,091004-35
100187,,091004-35
100188,,091004-35
100163,,091004-35
100919,,091004-35
100649,,091004-35
100799,,091004-35
120036,,091004-35
100170,,091004-35
100432,,091004-45
120095,,091004-45
120039,,091004-45
100300,,091004-45
100305,,091004-45
120097,,091004-45
120111,,091004-45
100204,,091004-45
100238,,091004-45
100194,,091004-45
100642,,092000-10
100272,,092000-10
100185,,092000-10
100305,,092000-10
100191,,092000-10
100240,,092000-10
120111,,092000-10
100165,,092000-10
120112,,092000-10
100214,,092000-10
120119,,092000-10
120138,,092000-10
120096,,092000-10
100286,,092000-10
100194,,092000-10
100202,,092000-10
100302,,092000-10
120130,,092000-10
100203,,092000-10
120055,,092000-15
120101,,092000-15
100155,,092000-15
120107,,092000-15
100154,,092000-15
100177,,092000-15
100241,,092000-15
100205,,092000-15
120057,,092000-15
100298,,092000-15
100159,,092000-15
100199,,092000-15
100179,,092000-15
100181,,092000-15
100649,,092000-15
120165,,092000-15
100151,,092000-15
120045,,092000-20
120039,,092000-20
120122,,092000-20
100300,,092000-20
100209,,092000-20
100188,,092000-20
100971,,092000-20
100204,,092000-20
100201,,092000-20
100206,,092000-20
100168,,092000-20
100919,,092000-20
100189,,092000-20
120051,,092000-20
100238,,092000-20
100133,,092000-20
100174,,092000-20
120145,,092000-20
100195,,092000-20
100662,,092000-20
120036,,092000-20
100170,,092000-20
100432,,092000-30
100297,,092000-30
100172,,092000-30
120095,,092000-30
120071,,092000-30
120108,,092000-30
100284,,092000-30
100157,,092000-30
100307,,092000-30
100178,,092000-30
120143,,092000-30
100295,,092000-30
100196,,092000-30
120134,,092000-30
100431,,092000-35
100310,,092000-35
120097,,092000-35
100158,,092000-35
100160,,092000-35
100970,,092000-35
120164,,092000-35
100183,,092000-35
100932,,092000-35
120065,,092000-35
100294,,092000-35
100153,,092000-35
120128,,092000-35
100282,,092000-40
100306,,092000-40
100309,,092000-40
120070,,092000-40
100239,,092000-40
100210,,092000-40
100187,,092000-40
120110,,092000-40
100163,,092000-40
100193,,092000-40
100180,,092000-40
100799,,092000-40
120154,,092000-40
120126,,092000-40
120103,,092000-40
120123,,092000-40
100297,,093032-20
100154,,093032-20
100210,,093032-20
120164,,093032-20
100178,,093032-20
100932,,093032-20
100649,,093032-20
120101,,093034-30
120107,,093034-30
120070,,093034-30
100305,,093034-30
100205,,093034-30
120057,,093034-30
120110,,093034-30
120111,,093034-30
120112,,093034-30
100204,,093034-30
100206,,093034-30
100133,,093034-30
100302,,093034-30
120130,,093034-30
120055,,093041-20
100282,,093041-20
100185,,093041-20
100155,,093041-20
120071,,093041-20
100298,,093041-20
100159,,093041-20
100160,,093041-20
100799,,093041-20
100194,,093041-20
120165,,093041-20
100153,,093041-20
100272,,093042-20
100177,,093042-20
100241,,093042-20
100191,,093042-20
100187,,093042-20
100165,,093042-20
100183,,093042-20
100202,,093042-20
100172,,093044-10
100970,,093044-10
100201,,093044-10
100180,,093044-10
100294,,093044-10
120154,,093044-10
120126,,093044-10
100170,,093044-10
100432,,093044-15
120108,,093044-15
100309,,093044-15
100310,,093044-15
100239,,093044-15
100307,,093044-15
100163,,093044-15
120143,,093044-15
100168,,093044-15
100195,,093044-15
100196,,093044-15
120128,,093044-15
120039,,093044-30
100240,,093044-30
100971,,093044-30
100179,,093044-30
100189,,093044-30
120096,,093044-30
100181,,093044-30
120051,,093044-30
100238,,093044-30
120145,,093044-30
100662,,093044-30
120103,,093044-30
100151,,093044-30
120123,,093044-30
100431,,093044-40
100642,,093044-40
120122,,093044-40
100209,,093044-40
100284,,093044-40
100157,,093044-40
100188,,093044-40
100158,,093044-40
100199,,093044-40
100214,,093044-40
120119,,093044-40
120138,,093044-40
100286,,093044-40
100203,,093044-40
120174,,093044-40
120134,,093044-40
100155,,094010-10
120071,,094010-10
100298,,094010-10
100159,,094010-10
100160,,094010-10
100206,,094010-10
100180,,094010-10
100151,,094010-10
120101,,094011-10
100309,,094011-10
100205,,094011-10
100191,,094011-10
100284,,094011-10
100158,,094011-10
100971,,094011-10
100165,,094011-10
100201,,094011-10
100168,,094011-10
100183,,094011-10
100932,,094011-10
100649,,094011-10
120145,,094011-10
100195,,094011-10
120128,,094011-10
120055,,094011-20
100272,,094011-20
100185,,094011-20
100172,,094011-20
100154,,094011-20
100177,,094011-20
100241,,094011-20
100210,,094011-20
100240,,094011-20
100970,,094011-20
120164,,094011-20
100214,,094011-20
120138,,094011-20
100181,,094011-20
100286,,094011-20
120154,,094011-20
100295,,094011-20
100431,,094012-10
100310,,094012-10
100157,,094012-10
120110,,094012-10
100163,,094012-10
100178,,094012-10
100919,,094012-10
120096,,094012-10
100133,,094012-10
100174,,094012-10
100799,,094012-10
100194,,094012-10
100294,,094012-10
100202,,094012-10
100196,,094012-10
120165,,094012-10
100203,,094012-10
100170,,094012-10
100282,,094012-20
100297,,094012-20
120108,,094012-20
120122,,094012-20
120070,,094012-20
100305,,094012-20
120057,,094012-20
100187,,094012-20
100188,,094012-20
100307,,094012-20
120111,,094012-20
100204,,094012-20
100193,,094012-20
100199,,094012-20
100179,,094012-20
120119,,094012-20
100189,,094012-20
120130,,094012-20
100432,,094013-10
120107,,094013-10
100306,,094013-10
100239,,094013-10
100209,,094013-10
120112,,094013-10
120143,,094013-10
120051,,094013-10
100302,,094013-10
120036,,094013-10
120126,,094013-10
120103,,094013-10
120134,,094013-10
120123,,094013-10
100642,,094014-20
120045,,094014-20
120095,,094014-20
120039,,094014-20
100300,,094014-20
120097,,094014-20
120065,,094014-20
100238,,094014-20
100662,,094014-20
120126,,094014-20
120134,,094014-20
100309,,095001-20
120070,,095001-20
100205,,095001-20
100284,,095001-20
100240,,095001-20
