STUDENT_ID,SCHOOL_ID,SECTION_ID
100158,Upper,092000-35
100160,Upper,092000-35
100970,Upper,092000-35
120164,Upper,092000-35
100183,Upper,092000-35
100932,Upper,092000-35
120065,Upper,092000-35
100294,Upper,092000-35
100153,Upper,092000-35
120128,Upper,092000-35
100282,Upper,092000-40
100306,Upper,092000-40
100309,Upper,092000-40
120070,Upper,092000-40
100239,Upper,092000-40
100210,Upper,092000-40
100187,Upper,092000-40
120110,Upper,092000-40
100163,Upper,092000-40
100193,Upper,092000-40
100180,Upper,092000-40
100799,Upper,092000-40
120154,Upper,092000-40
120126,Upper,092000-40
120103,Upper,092000-40
120123,Upper,092000-40
100297,Upper,093032-20
100154,Upper,093032-20
100210,Upper,093032-20
120164,Upper,093032-20
100178,Upper,093032-20
100932,Upper,093032-20
100649,Upper,093032-20
120101,Upper,093034-30
120107,Upper,093034-30
120070,Upper,093034-30
100305,Upper,093034-30
100205,Upper,093034-30
120057,Upper,093034-30
120110,Upper,093034-30
120111,Upper,093034-30
120112,Upper,093034-30
100204,Upper,093034-30
100206,Upper,093034-30
100133,Upper,093034-30
100302,Upper,093034-30
120130,Upper,093034-30
120055,Upper,093041-20
100282,Upper,093041-20
100185,Upper,093041-20
100155,Upper,093041-20
120071,Upper,093041-20
100298,Upper,093041-20
100159,Upper,093041-20
100160,Upper,093041-20
100799,Upper,093041-20
100194,Upper,093041-20
120165,Upper,093041-20
100153,Upper,093041-20
100272,Upper,093042-20
100177,Upper,093042-20
100241,Upper,093042-20
100191,Upper,093042-20
100187,Upper,093042-20
100165,Upper,093042-20
100183,Upper,093042-20
100202,Upper,093042-20
100172,Upper,093044-10
100970,Upper,093044-10
100201,Upper,093044-10
100180,Upper,093044-10
100294,Upper,093044-10
120154,Upper,093044-10
120126,Upper,093044-10
100170,Upper,093044-10
100432,Upper,093044-15
120108,Upper,093044-15
100309,Upper,093044-15
100310,Upper,093044-15
100239,Upper,093044-15
100307,Upper,093044-15
100163,Upper,093044-15
120143,Upper,093044-15
100168,Upper,093044-15
100195,Upper,093044-15
100196,Upper,093044-15
120128,Upper,093044-15
120039,Upper,093044-30
100240,Upper,093044-30
100971,Upper,093044-30
100179,Upper,093044-30
100189,Upper,093044-30
120096,Upper,093044-30
100181,Upper,093044-30
120051,Upper,093044-30
100238,Upper,093044-30
120145,Upper,093044-30
100662,Upper,093044-30
120103,Upper,093044-30
100151,Upper,093044-30
120123,Upper,093044-30
100431,Upper,093044-40
100642,Upper,093044-40
120122,Upper,093044-40
100209,Upper,093044-40
100284,Upper,093044-40
100157,Upper,093044-40
100188,Upper,093044-40
100158,Upper,093044-40
100199,Upper,093044-40
100214,Upper,093044-40
120119,Upper,093044-40
120138,Upper,093044-40
100286,Upper,093044-40
100203,Upper,093044-40
120174,Upper,093044-40
120134,Upper,093044-40
100155,Upper,094010-10
120071,Upper,094010-10
100298,Upper,094010-10
100159,Upper,094010-10
100160,Upper,094010-10
100206,Upper,094010-10
100180,Upper,094010-10
100151,Upper,094010-10
120101,Upper,094011-10
100309,Upper,094011-10
100205,Upper,094011-10
100191,Upper,094011-10
100284,Upper,094011-10
100158,Upper,094011-10
100971,Upper,094011-10
100165,Upper,094011-10
100201,Upper,094011-10
100168,Upper,094011-10
100183,Upper,094011-10
100932,Upper,094011-10
100649,Upper,094011-10
120145,Upper,094011-10
100195,Upper,094011-10
120128,Upper,094011-10
120055,Upper,094011-20
100272,Upper,094011-20
100185,Upper,094011-20
100172,Upper,094011-20
100154,Upper,094011-20
100177,Upper,094011-20
100241,Upper,094011-20
100210,Upper,094011-20
100240,Upper,094011-20
100970,Upper,094011-20
120164,Upper,094011-20
100214,Upper,094011-20
120138,Upper,094011-20
100181,Upper,094011-20
100286,Upper,094011-20
120154,Upper,094011-20
100295,Upper,094011-20
100431,Upper,094012-10
100310,Upper,094012-10
100157,Upper,094012-10
120110,Upper,094012-10
100163,Upper,094012-10
100178,Upper,094012-10
100919,Upper,094012-10
120096,Upper,094012-10
100133,Upper,094012-10
100174,Upper,094012-10
100799,Upper,094012-10
100194,Upper,094012-10
100294,Upper,094012-10
100202,Upper,094012-10
100196,Upper,094012-10
120165,Upper,094012-10
100203,Upper,094012-10
100170,Upper,094012-10
100282,Upper,094012-20
100297,Upper,094012-20
120108,Upper,094012-20
120122,Upper,094012-20
120070,Upper,094012-20
100305,Upper,094012-20
120057,Upper,094012-20
100187,Upper,094012-20
100188,Upper,094012-20
100307,Upper,094012-20
120111,Upper,094012-20
100204,Upper,094012-20
100193,Upper,094012-20
100199,Upper,094012-20
100179,Upper,094012-20
120119,Upper,094012-20
100189,Upper,094012-20
120130,Upper,094012-20
100432,Upper,094013-10
120107,Upper,094013-10
100306,Upper,094013-10
100239,Upper,094013-10
100209,Upper,094013-10
120112,Upper,094013-10
120143,Upper,094013-10
120051,Upper,094013-10
100302,Upper,094013-10
120036,Upper,094013-10
120126,Upper,094013-10
120103,Upper,094013-10
120134,Upper,094013-10
120123,Upper,094013-10
100642,Upper,094014-20
120045,Upper,094014-20
120095,Upper,094014-20
120039,Upper,094014-20
100300,Upper,094014-20
120097,Upper,094014-20
120065,Upper,094014-20
100238,Upper,094014-20
100662,Upper,094014-20
120126,Upper,094014-20
120134,Upper,094014-20
100309,Upper,095001-20
120070,Upper,095001-20
100205,Upper,095001-20
100284,Upper,095001-20
100240,Upper,095001-20
100158,Upper,095001-20
100180,Upper,095001-20
120138,Upper,095001-20
120096,Upper,095001-20
100294,Upper,095001-20
120154,Upper,095001-20
100295,Upper,095001-20
100151,Upper,095001-20
120128,Upper,095001-20
120055,Upper,095001-40
100272,Upper,095001-40
100185,Upper,095001-40
100155,Upper,095001-40
120071,Upper,095001-40
120108,Upper,095001-40
100177,Upper,095001-40
100241,Upper,095001-40
100191,Upper,095001-40
100298,Upper,095001-40
100159,Upper,095001-40
100160,Upper,095001-40
120164,Upper,095001-40
100206,Upper,095001-40
100168,Upper,095001-40
120165,Upper,095001-40
100153,Upper,095001-40
100297,Upper,095002-10
100210,Upper,095002-10
100188,Upper,095002-10
100204,Upper,095002-10
100174,Upper,095002-10
100799,Upper,095002-10
100662,Upper,095002-10
120036,Upper,095002-10
120103,Upper,095002-10
120123,Upper,095002-10
100432,Upper,095002-20
100642,Upper,095002-20
100306,Upper,095002-20
100239,Upper,095002-20
100305,Upper,095002-20
100157,Upper,095002-20
120110,Upper,095002-20
120111,Upper,095002-20
100163,Upper,095002-20
120143,Upper,095002-20
100179,Upper,095002-20
100302,Upper,095002-20
120126,Upper,095002-20
100203,Upper,095002-20
100431,Upper,095003-10
120045,Upper,095003-10
120095,Upper,095003-10
120039,Upper,095003-10
100300,Upper,095003-10
100209,Upper,095003-10
120097,Upper,095003-10
100187,Upper,095003-10
100919,Upper,095003-10
120065,Upper,095003-10
100238,Upper,095003-10
120134,Upper,095003-10
100282,Upper,095011-30
120122,Upper,095011-30
100154,Upper,095011-30
100165,Upper,095011-30
100193,Upper,095011-30
100201,Upper,095011-30
100199,Upper,095011-30
100214,Upper,095011-30
120119,Upper,095011-30
100286,Upper,095011-30
100194,Upper,095011-30
100202,Upper,095011-30
100195,Upper,095011-30
100172,Upper,095011-40
120101,Upper,095011-40
120107,Upper,095011-40
100310,Upper,095011-40
120057,Upper,095011-40
100307,Upper,095011-40
100971,Upper,095011-40
100970,Upper,095011-40
120112,Upper,095011-40
100178,Upper,095011-40
100183,Upper,095011-40
100189,Upper,095011-40
100932,Upper,095011-40
100181,Upper,095011-40
100649,Upper,095011-40
120051,Upper,095011-40
100133,Upper,095011-40
120145,Upper,095011-40
120130,Upper,095011-40
100196,Upper,095011-40
100170,Upper,095011-40
120095,Upper,095400-10
100154,Upper,095400-10
100305,Upper,095400-10
120057,Upper,095400-10
100970,Upper,095400-10
100199,Upper,095400-10
100214,Upper,095400-10
100181,Upper,095400-10
120065,Upper,095400-10
100238,Upper,095400-10
100153,Upper,095400-10
120174,Upper,095400-10
100431,Upper,095400-20
100432,Upper,095400-20
